combo_id,scenario_id,season,gender,T_hissedilen,hedef_Clo,V_ruzgar,piece_ids,layer_count,total_Clo_C,delta_Clo,rank,aesthetic_score,fashionclip_score,color_score,scorer,collage_path,preference_score,labeler
VC0001,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV1347|LV0307|LV0031|LV0856,4,0.97,0.7812,2.508,2.177,1.0,3.355,base+fashionclip+color,data/assets/combos/VC0001.jpg,,
VC0002,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV1396|LV0544|LV0021|LV0911,4,0.97,0.7812,2.047,1.716,1.0,2.432,base+fashionclip+color,data/assets/combos/VC0002.jpg,,
VC0003,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV1361|LV0549|LV0023|LV0856,4,0.97,0.7812,2.004,1.923,1.0,2.846,base+fashionclip+color,data/assets/combos/VC0003.jpg,,
VC0004,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV1363|LV2487|LV0023,3,0.93,0.8212,1.938,2.181,1.0,3.363,base+fashionclip+color,data/assets/combos/VC0004.jpg,,
VC0005,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV1406|LV0549|LV0021|LV0846,4,0.97,0.7812,1.867,1.786,1.0,2.571,base+fashionclip+color,data/assets/combos/VC0005.jpg,,
VC0006,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV1366|LV0549|LV0031|LV0845,4,0.97,0.7812,1.835,1.754,1.0,2.508,base+fashionclip+color,data/assets/combos/VC0006.jpg,,
VC0007,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV0544|LV0584|SP0153|LV0021|LV1004,5,1.23,0.5212,1.829,1.675,1.0,2.351,base+fashionclip+color,data/assets/combos/VC0007.jpg,,
VC0008,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV1310|LV2516|LV0021|LV0834,4,0.97,0.7812,1.826,1.745,1.0,2.49,base+fashionclip+color,data/assets/combos/VC0008.jpg,,
VC0009,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV1318|LV0549|LV0021|LV0864,4,0.97,0.7812,1.796,1.715,1.0,2.431,base+fashionclip+color,data/assets/combos/VC0009.jpg,,
VC0010,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV2516|LV1382|SP1019|LV0021|LV0905,5,1.22,0.5312,1.714,2.2,1.0,3.401,base+fashionclip+color,data/assets/combos/VC0010.jpg,,
VC0011,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV2516|SP0654|SP1345|LV0023|LV0905,5,1.05,0.7012,1.686,2.274,1.0,3.549,base+fashionclip+color,data/assets/combos/VC0011.jpg,,
VC0012,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV1354|LV0549|LV0021,3,0.93,0.8212,1.65,1.893,1.0,2.787,base+fashionclip+color,data/assets/combos/VC0012.jpg,,
VC0013,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV1396|LV2487|LV0031|LV0909,4,0.97,0.7812,1.611,1.53,1.0,2.061,base+fashionclip+color,data/assets/combos/VC0013.jpg,,
VC0014,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV2516|LV0437|SP2215|LV0021|LV1011,5,1.11,0.6412,1.61,2.162,1.0,3.325,base+fashionclip+color,data/assets/combos/VC0014.jpg,,
VC0015,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV1320|LV2487|LV0023,3,0.93,0.8212,1.589,1.832,1.0,2.663,base+fashionclip+color,data/assets/combos/VC0015.jpg,,
VC0016,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV0307|SP0412|SP0476|LV0031|LV0905,5,1.0,0.7512,1.568,2.352,1.0,3.705,base+fashionclip+color,data/assets/combos/VC0016.jpg,,
VC0017,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV0307|SP0599|SP1047|LV0031|LV0909,5,1.0,0.7512,1.533,2.317,1.0,3.633,base+fashionclip+color,data/assets/combos/VC0017.jpg,,
VC0018,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV0544|LV0201|SP1249|LV0023|LV0905,5,1.0,0.7512,1.512,2.13,1.0,3.26,base+fashionclip+color,data/assets/combos/VC0018.jpg,,
VC0019,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV2487|LV2515|SP1479|LV0023|LV0901,5,1.04,0.7112,1.5,2.094,1.0,3.188,base+fashionclip+color,data/assets/combos/VC0019.jpg,,
VC0020,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV2516|LV0346|SP0682|LV0023|LV0914,5,1.17,0.5812,1.487,2.003,1.0,3.006,base+fashionclip+color,data/assets/combos/VC0020.jpg,,
VC0021,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV2516|LV1351|SP1641|LV0023|LV0911,5,1.22,0.5312,1.485,1.971,1.0,2.942,base+fashionclip+color,data/assets/combos/VC0021.jpg,,
VC0022,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV2516|LV0555|LV1260|LV0023,4,1.06,0.6912,1.475,2.357,1.0,3.714,base+fashionclip+color,data/assets/combos/VC0022.jpg,,
VC0023,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV0307|LV0444|SP1639|LV0023|LV0905,5,1.05,0.7012,1.465,2.053,1.0,3.105,base+fashionclip+color,data/assets/combos/VC0023.jpg,,
VC0024,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV2520|LV0473|SP1473|LV0023|LV0903,5,1.17,0.5812,1.417,2.099,1.0,3.199,base+fashionclip+color,data/assets/combos/VC0024.jpg,,
VC0025,kis_soguk_ruzgarli,kis,women,-0.06,1.7512,25,LV2516|SP0040|SP1249|LV0021|LV1012,5,1.01,0.7412,1.384,2.162,1.0,3.325,base+fashionclip+color,data/assets/combos/VC0025.jpg,,
VC0026,kis_soguk_ruzgarli,kis,men,-0.06,1.7512,25,SP1975|SP1560|SP1119|SP1020,4,0.58,1.1712,-0.336,3.0,1.0,5.0,base+fashionclip+color,data/assets/combos/VC0026.jpg,,
VC0027,kis_soguk_ruzgarli,kis,men,-0.06,1.7512,25,SP1975|SP0486|SP0917|SP1089,4,0.58,1.1712,-0.336,3.0,1.0,5.0,base+fashionclip+color,data/assets/combos/VC0027.jpg,,
VC0028,kis_soguk_ruzgarli,kis,men,-0.06,1.7512,25,SP1975|SP0896|SP1379|SP1453,4,0.58,1.1712,-0.558,2.612,1.0,4.224,base+fashionclip+color,data/assets/combos/VC0028.jpg,,
VC0029,kis_soguk_ruzgarli,kis,men,-0.06,1.7512,25,SP1975|SP0618|SP1821|SP0610,4,0.63,1.1212,-0.694,2.612,1.0,4.224,base+fashionclip+color,data/assets/combos/VC0029.jpg,,
VC0030,kis_soguk_ruzgarli,kis,men,-0.06,1.7512,25,SP1975|SP0969|SP1167|SP1150,4,0.63,1.1212,-0.694,2.612,1.0,4.224,base+fashionclip+color,data/assets/combos/VC0030.jpg,,
VC0031,kis_soguk_ruzgarli,kis,men,-0.06,1.7512,25,SP0377|SP0867|SP1392|SP1389,4,0.58,1.1712,-0.724,2.612,1.0,4.224,base+fashionclip+color,data/assets/combos/VC0031.jpg,,
VC0032,kis_soguk_ruzgarli,kis,men,-0.06,1.7512,25,SP1975|SP0114|SP1147|SP2333,4,0.58,1.1712,-0.724,2.612,1.0,4.224,base+fashionclip+color,data/assets/combos/VC0032.jpg,,
VC0033,kis_soguk_ruzgarli,kis,men,-0.06,1.7512,25,SP0377|SP0486|SP2198|SP0452,4,0.58,1.1712,-0.751,2.585,1.0,4.17,base+fashionclip+color,data/assets/combos/VC0033.jpg,,
VC0034,kis_soguk_ruzgarli,kis,men,-0.06,1.7512,25,SP1975|SP1739|SP0182|SP1020,4,0.58,1.1712,-0.751,2.585,1.0,4.17,base+fashionclip+color,data/assets/combos/VC0034.jpg,,
VC0035,kis_soguk_ruzgarli,kis,men,-0.06,1.7512,25,SP0377|SP0890|SP1764|SP0362,4,0.52,1.2312,-0.76,2.612,1.0,4.224,base+fashionclip+color,data/assets/combos/VC0035.jpg,,
VC0036,kis_soguk_ruzgarli,kis,men,-0.06,1.7512,25,SP1975|SP1428|SP1147|SP1389,4,0.52,1.2312,-0.76,2.612,1.0,4.224,base+fashionclip+color,data/assets/combos/VC0036.jpg,,
